Sort,Season,Agency,Date,Time,Station ID,Field rep,Depth (m),Time (seconds),Descent rate (m/s),Temperature (øC),Conductivity (S/m),Salinity (psu),Density (kg/m?),pH (pH units),Dissolved Oxygen (mg/L),Oxygen Saturation (mg/L),Oxygen Saturation (%),Light Transmission (%),Beam C (1/m),Chlorophyll-a (æg/L) WET,Chlorophyll-a Voltage (V) WET,Chlorophyll-a (æg/L) ECO,Chlorophyll-a Voltage (V) ECO,CDOM (ug/L) WET,CDOM Voltage (V) WET,CDOM (ug/L) ECO,CDOM Voltage (V) ECO,CDOM (ug/L) Turner,CDOM Voltage (V) Turner,Surface Irradiance (æE/cmýúsec),Irradiance (æE/cmýúsec),Normalized Irradiance (%),delta-T (øC/m),Stability (kg/m?/m),Qual_NH3,Ammonia-N (mg/L),Qual_TC,Total coliforms (MPN/100mL),Qual_FC,Fecal coliforms (MPN/100mL),Qual_EC,E. coli (MPN/100mL),Qual_ENT,Enterococci (MPN/100mL),Disacrete Chl-a (ug/L)
9884,Winter,OCSD,02/02/2016,07:57,2106,2,73.0,311.7,0.69,12.96,3.940,33.516,25.254,7.91,4.92,8.55,57.45,88.64,0.482,0.14,0.0612,-0.05,0.0107,6.19,0.4421,0.76,0.0220,,,1513.7,0.1,0.0,0.09,0.019,,,,,,,,,,,
9885,Winter,OCSD,02/02/2016,07:57,2106,2,74.0,312.9,0.99,12.87,3.932,33.519,25.273,7.90,4.92,8.57,57.40,88.70,0.480,0.14,0.0600,-0.05,0.0109,6.24,0.4446,0.75,0.0215,,,1525.4,0.1,0.0,0.07,0.020,,,,,,,,,,,
9886,Winter,OCSD,02/02/2016,07:57,2106,2,75.0,314.6,0.41,12.80,3.926,33.525,25.293,7.90,5.01,8.58,58.30,88.72,0.479,0.14,0.0606,-0.07,0.0103,6.21,0.4433,0.74,0.0213,,,1512.0,0.1,0.0,0.03,0.004,,,,,,,,,,,
9887,Winter,OCSD,02/02/2016,07:57,2106,2,76.0,316.1,0.03,12.77,3.924,33.525,25.297,7.89,5.13,8.59,59.69,88.72,0.479,0.14,0.0609,-0.07,0.0099,6.16,0.4401,0.77,0.0220,,,1534.8,0.1,0.0,,,,,,,,,,,,,
9888,Winter,OCSD,02/08/2016,11:29,2021,1,1.0,15.4,0.45,15.36,4.166,33.539,24.767,8.13,7.63,8.14,93.67,80.26,0.878,0.73,0.1046,0.57,0.0360,2.16,0.2466,0.31,0.0166,,,2449.0,1883.4,76.9,0.19,0.047,,,,,,,,,,,
9889,Winter,OCSD,02/08/2016,11:29,2021,1,2.0,17.4,0.60,15.17,4.148,33.539,24.814,8.13,7.61,8.17,93.05,79.13,0.936,0.85,0.1153,0.49,0.0323,2.19,0.2501,0.42,0.0187,,,2451.7,1740.5,71.0,0.03,0.002,,,,,,,,,,,
9890,Winter,OCSD,02/08/2016,11:29,2021,1,3.0,19.0,0.65,15.14,4.145,33.540,24.816,8.13,7.59,8.18,92.77,79.90,0.898,1.00,0.1254,0.53,0.0339,2.16,0.2471,0.41,0.0185,,,2449.6,1214.6,49.6,0.10,0.022,,,,,,,,,,,
9891,Winter,OCSD,02/08/2016,11:29,2021,1,4.0,20.5,0.68,15.04,4.135,33.539,24.838,8.13,7.59,8.20,92.49,80.99,0.843,1.21,0.1411,0.63,0.0379,2.21,0.2498,0.30,0.0164,,,2453.5,986.6,40.2,0.05,0.010,,,,,,,,,,,
9892,Winter,OCSD,02/08/2016,11:29,2021,1,5.0,22.0,0.67,14.99,4.130,33.538,24.848,8.13,7.56,8.20,92.09,81.60,0.813,1.53,0.1669,0.76,0.0431,2.22,0.2506,0.32,0.0164,,,2452.4,799.1,32.6,0.03,0.004,,,,,,,,,,,
9893,Winter,OCSD,02/08/2016,11:29,2021,1,6.0,23.6,0.61,14.96,4.128,33.537,24.852,8.13,7.56,8.21,92.09,81.27,0.830,1.85,0.1921,0.96,0.0512,2.21,0.2489,0.46,0.0189,,,2453.7,626.9,25.5,0.00,0.002,,,,,,,,,,,
9894,Winter,OCSD,02/08/2016,11:29,2021,1,7.0,25.1,0.69,14.96,4.127,33.537,24.854,8.13,7.50,8.21,91.23,80.63,0.861,2.00,0.2043,1.17,0.0609,2.28,0.2547,0.55,0.0195,,,2453.6,509.7,20.8,0.03,0.005,,,,,,,,,,,
9895,Winter,OCSD,02/08/2016,11:29,2021,1,8.0,26.6,0.66,14.93,4.125,33.537,24.859,8.13,7.36,8.21,89.54,79.78,0.904,1.99,0.2003,1.23,0.0623,2.26,0.2499,0.62,0.0199,,,2454.1,395.0,16.1,0.08,0.018,,,,,,,,,,,
9896,Winter,OCSD,02/08/2016,11:29,2021,1,9.0,28.2,0.54,14.85,4.117,33.536,24.877,8.12,7.40,8.23,89.88,78.68,0.959,1.97,0.2016,1.25,0.0632,2.39,0.2600,0.71,0.0209,,,2454.0,320.2,13.0,0.06,0.010,,,,,,,,,,,
9897,Winter,OCSD,02/08/2016,11:29,2021,1,10.0,29.4,0.18,14.79,4.111,33.534,24.887,8.11,7.58,8.24,91.92,78.51,0.968,1.90,0.1947,1.23,0.0611,2.45,0.2602,0.78,0.0220,,,2454.4,274.1,11.2,,,,,,,,,,,,,
9898,Winter,OCSD,02/08/2016,11:22,2022,1,1.0,13.9,0.42,15.56,4.185,33.533,24.727,8.13,7.72,8.11,95.08,78.37,0.975,1.30,0.1500,0.92,0.0499,2.28,0.2531,0.42,0.0175,,,2429.3,1498.7,61.7,0.33,0.085,,,,,,,,,,,
9899,Winter,OCSD,02/08/2016,11:22,2022,1,2.0,16.0,0.54,15.23,4.155,33.551,24.812,8.13,7.70,8.16,94.20,77.50,1.020,1.30,0.1473,0.85,0.0464,2.31,0.2547,0.47,0.0194,,,2428.4,1356.3,55.9,0.31,0.056,,,,,,,,,,,
9900,Winter,OCSD,02/08/2016,11:22,2022,1,3.0,17.8,0.56,14.92,4.124,33.545,24.868,8.13,7.73,8.22,94.00,77.49,1.020,1.52,0.1653,0.90,0.0485,2.31,0.2548,0.44,0.0180,,,2430.2,1066.8,43.9,0.06,0.010,,,,,,,,,,,
9901,Winter,OCSD,02/08/2016,11:22,2022,1,4.0,19.5,0.61,14.86,4.118,33.540,24.878,8.13,7.71,8.22,93.69,78.39,0.974,1.85,0.1907,1.07,0.0560,2.27,0.2521,0.47,0.0186,,,2431.2,889.1,36.6,0.03,0.005,,,,,,,,,,,
9902,Winter,OCSD,02/08/2016,11:22,2022,1,5.0,21.2,0.58,14.83,4.115,33.540,24.883,8.13,7.59,8.23,92.21,79.30,0.928,2.20,0.2159,1.21,0.0613,2.35,0.2563,0.50,0.0191,,,2432.7,712.1,29.3,0.05,0.010,,,,,,,,,,,
9903,Winter,OCSD,02/08/2016,11:22,2022,1,6.0,22.7,0.75,14.78,4.110,33.537,24.893,8.12,7.50,8.24,90.97,79.72,0.907,2.71,0.2615,1.40,0.0682,2.41,0.2595,0.53,0.0190,,,2430.6,568.3,23.4,0.03,0.003,,,,,,,,,,,
9904,Winter,OCSD,02/08/2016,11:22,2022,1,7.0,24.0,0.79,14.75,4.108,33.536,24.896,8.12,7.40,8.24,89.70,79.86,0.900,2.90,0.2707,1.66,0.0801,2.42,0.2601,0.59,0.0203,,,2434.0,455.2,18.7,0.02,0.004,,,,,,,,,,,
9905,Winter,OCSD,02/08/2016,11:22,2022,1,8.0,25.3,0.81,14.73,4.106,33.535,24.900,8.11,7.26,8.25,87.96,79.90,0.898,3.02,0.2818,1.79,0.0840,2.46,0.2619,0.58,0.0199,,,2432.8,375.2,15.4,0.07,0.014,,,,,,,,,,,
9906,Winter,OCSD,02/08/2016,11:22,2022,1,9.0,26.6,0.73,14.66,4.099,33.532,24.914,8.11,7.07,8.26,85.52,79.80,0.902,2.98,0.2825,1.91,0.0901,2.52,0.2643,0.55,0.0188,,,2433.8,298.0,12.2,0.09,0.018,,,,,,,,,,,
9907,Winter,OCSD,02/08/2016,11:22,2022,1,10.0,28.0,0.73,14.57,4.090,33.531,24.932,8.10,6.95,8.27,83.94,79.88,0.898,2.61,0.2476,1.92,0.0907,2.58,0.2670,0.63,0.0202,,,2434.8,243.8,10.0,0.08,0.015,,,,,,,,,,,
9908,Winter,OCSD,02/08/2016,11:22,2022,1,11.0,29.3,0.86,14.49,4.082,33.528,24.947,8.08,6.89,8.29,83.02,80.08,0.889,2.35,0.2268,1.73,0.0822,2.66,0.2722,0.71,0.0215,,,2434.1,199.4,8.2,0.03,0.004,,,,,,,,,,,
9909,Winter,OCSD,02/08/2016,11:22,2022,1,12.0,30.5,0.81,14.46,4.079,33.526,24.951,8.08,6.84,8.29,82.46,80.39,0.873,2.24,0.2222,1.58,0.0755,2.71,0.2744,0.73,0.0214,,,2435.0,169.3,7.0,0.03,0.006,,,,,,,,,,,
9910,Winter,OCSD,02/08/2016,11:22,2022,1,13.0,31.8,0.75,14.43,4.076,33.524,24.957,8.07,6.78,8.30,81.64,81.16,0.835,2.06,0.2075,1.51,0.0739,2.68,0.2719,0.71,0.0213,,,2437.8,140.8,5.8,0.02,0.004,,,,,,,,,,,
9911,Winter,OCSD,02/08/2016,11:22,2022,1,14.0,33.0,0.82,14.41,4.074,33.523,24.961,8.07,6.71,8.30,80.81,81.83,0.802,1.90,0.1941,1.41,0.0688,2.71,0.2736,0.65,0.0198,,,2436.6,119.7,4.9,0.03,0.004,,,,,,,,,,,
9912,Winter,OCSD,02/08/2016,11:22,2022,1,15.0,34.3,0.80,14.38,4.072,33.522,24.965,8.06,6.69,8.31,80.47,81.97,0.795,1.77,0.1853,1.33,0.0665,2.78,0.2785,0.66,0.0207,,,2434.5,99.2,4.1,0.03,0.005,,,,,,,,,,,
9913,Winter,OCSD,02/08/2016,11:22,2022,1,16.0,35.6,0.72,14.35,4.069,33.520,24.970,8.06,6.68,8.31,80.28,82.18,0.785,1.65,0.1750,1.20,0.0605,2.79,0.2781,0.69,0.0209,,,2434.7,83.6,3.4,0.01,0.002,,,,,,,,,,,
9914,Winter,OCSD,02/08/2016,11:22,2022,1,17.0,37.0,0.74,14.34,4.068,33.520,24.972,8.06,6.63,8.31,79.66,82.29,0.780,1.60,0.1725,1.10,0.0567,2.79,0.2771,0.72,0.0213,,,2435.4,71.6,2.9,0.00,0.001,,,,,,,,,,,
9915,Winter,OCSD,02/08/2016,11:22,2022,1,18.0,38.3,0.86,14.34,4.067,33.520,24.973,8.06,6.59,8.31,79.24,82.37,0.776,1.53,0.1664,1.06,0.0552,2.79,0.2771,0.72,0.0213,,,2434.8,59.3,2.4,0.04,0.008,,,,,,,,,,,
9916,Winter,OCSD,02/08/2016,11:22,2022,1,19.0,39.5,0.78,14.30,4.063,33.519,24.981,8.05,6.56,8.32,78.83,82.44,0.772,1.46,0.1625,1.03,0.0539,2.81,0.2793,0.70,0.0208,,,2437.2,50.3,2.1,0.02,0.003,,,,,,,,,,,
9917,Winter,OCSD,02/08/2016,11:22,2022,1,20.0,40.8,0.70,14.28,4.061,33.517,24.984,8.05,6.52,8.32,78.28,82.48,0.770,1.33,0.1522,1.02,0.0543,2.82,0.2796,0.72,0.0210,,,2438.6,44.1,1.8,0.02,0.003,,,,,,,,,,,
9918,Winter,OCSD,02/08/2016,11:22,2022,1,21.0,42.2,0.83,14.26,4.059,33.515,24.987,8.05,6.51,8.33,78.15,82.49,0.770,1.19,0.1393,0.92,0.0500,2.83,0.2802,0.75,0.0218,,,2439.9,37.7,1.5,0.03,0.004,,,,,,,,,,,
9919,Winter,OCSD,02/08/2016,11:22,2022,1,22.0,43.4,0.85,14.23,4.057,33.515,24.991,8.05,6.49,8.33,77.82,82.52,0.769,1.14,0.1370,0.78,0.0437,2.82,0.2779,0.75,0.0211,,,2439.4,32.5,1.3,0.01,0.002,,,,,,,,,,,
9920,Winter,OCSD,02/08/2016,11:22,2022,1,23.0,44.6,0.74,14.22,4.056,33.514,24.993,8.04,6.46,8.33,77.46,82.54,0.768,1.11,0.1337,0.72,0.0415,2.86,0.2815,0.77,0.0220,,,2438.3,28.0,1.1,0.01,0.002,,,,,,,,,,,
9921,Winter,OCSD,02/08/2016,11:22,2022,1,24.0,46.0,0.82,14.21,4.055,33.514,24.995,8.04,6.45,8.33,77.37,82.55,0.767,1.10,0.1341,0.71,0.0415,2.90,0.2833,0.74,0.0213,,,2441.2,24.1,1.0,0.01,0.003,,,,,,,,,,,
9922,Winter,OCSD,02/08/2016,11:22,2022,1,25.0,47.2,0.79,14.20,4.054,33.514,24.998,8.04,6.47,8.34,77.50,82.54,0.768,1.08,0.1330,0.70,0.0405,2.91,0.2838,0.72,0.0208,,,2441.9,20.7,0.8,0.00,-0.001,,,,,,,,,,,
9923,Winter,OCSD,02/08/2016,11:22,2022,1,26.0,48.5,0.72,14.20,4.054,33.514,24.997,8.04,6.47,8.34,77.60,82.58,0.766,1.07,0.1308,0.73,0.0421,2.91,0.2832,0.75,0.0217,,,2440.1,17.7,0.7,-0.01,-0.001,,,,,,,,,,,
9924,Winter,OCSD,02/08/2016,11:22,2022,1,27.0,49.9,0.79,14.21,4.055,33.514,24.996,8.04,6.46,8.34,77.44,82.52,0.769,1.08,0.1328,0.76,0.0435,2.91,0.2842,0.76,0.0211,,,2441.6,15.4,0.6,0.00,0.001,,,,,,,,,,,
9925,Winter,OCSD,02/08/2016,11:22,2022,1,28.0,51.1,0.79,14.21,4.055,33.514,24.997,8.04,6.44,8.34,77.16,82.58,0.766,1.06,0.1315,0.74,0.0427,2.92,0.2848,0.80,0.0221,,,2441.7,13.1,0.5,0.02,0.002,,,,,,,,,,,
9926,Winter,OCSD,02/08/2016,11:22,2022,1,29.0,52.5,0.72,14.19,4.053,33.514,24.999,8.04,6.41,8.34,76.86,82.49,0.770,1.03,0.1289,0.73,0.0427,2.85,0.2796,0.84,0.0220,,,2441.0,11.3,0.5,0.00,0.001,,,,,,,,,,,
9927,Winter,OCSD,02/08/2016,11:22,2022,1,30.0,53.7,0.89,14.19,4.053,33.514,25.000,8.04,6.39,8.34,76.53,82.55,0.767,1.00,0.1259,0.69,0.0405,2.84,0.2795,0.90,0.0232,,,2443.8,9.8,0.4,0.01,0.002,,,,,,,,,,,
9928,Winter,OCSD,02/08/2016,11:22,2022,1,31.0,55.0,0.77,14.18,4.052,33.513,25.002,8.04,6.39,8.34,76.53,82.54,0.768,0.96,0.1235,0.67,0.0394,2.90,0.2837,0.96,0.0233,,,2443.9,8.5,0.3,0.02,0.003,,,,,,,,,,,
9929,Winter,OCSD,02/08/2016,11:22,2022,1,32.0,56.3,0.78,14.16,4.050,33.512,25.005,8.03,6.38,8.34,76.46,82.57,0.766,0.93,0.1209,0.67,0.0400,2.89,0.2822,1.01,0.0246,,,2442.6,7.4,0.3,0.01,0.002,,,,,,,,,,,
9930,Winter,OCSD,02/08/2016,11:22,2022,1,33.0,57.6,0.72,14.15,4.049,33.512,25.007,8.03,6.38,8.35,76.37,82.56,0.767,0.91,0.1193,0.62,0.0376,2.88,0.2823,0.99,0.0240,,,2444.0,6.3,0.3,0.00,0.000,,,,,,,,,,,
9931,Winter,OCSD,02/08/2016,11:22,2022,1,34.0,59.0,0.74,14.15,4.049,33.512,25.007,8.03,6.37,8.35,76.28,82.57,0.766,0.89,0.1172,0.59,0.0367,2.91,0.2836,0.94,0.0233,,,2444.3,5.5,0.2,0.01,0.001,,,,,,,,,,,
9932,Winter,OCSD,02/08/2016,11:22,2022,1,35.0,60.3,0.79,14.14,4.049,33.512,25.008,8.03,6.37,8.35,76.23,82.49,0.770,0.89,0.1176,0.59,0.0369,2.91,0.2832,0.91,0.0232,,,2445.3,4.8,0.2,0.00,0.000,,,,,,,,,,,
9933,Winter,OCSD,02/08/2016,11:22,2022,1,36.0,61.5,0.83,14.14,4.049,33.511,25.008,8.03,6.36,8.35,76.11,82.48,0.770,0.89,0.1180,0.59,0.0362,2.94,0.2856,0.85,0.0221,,,2445.8,4.1,0.2,0.00,0.000,,,,,,,,,,,
9934,Winter,OCSD,02/08/2016,11:22,2022,1,37.0,62.8,0.73,14.14,4.049,33.512,25.008,8.03,6.34,8.35,75.93,82.42,0.773,0.87,0.1166,0.59,0.0369,2.97,0.2864,0.82,0.0220,,,2445.7,3.6,0.1,0.00,0.001,,,,,,,,,,,
9935,Winter,OCSD,02/08/2016,11:22,2022,1,38.0,64.2,0.80,14.14,4.049,33.512,25.009,8.03,6.34,8.35,75.91,82.48,0.770,0.85,0.1146,0.59,0.0366,2.96,0.2867,0.81,0.0222,,,2446.2,3.1,0.1,0.00,0.000,,,,,,,,,,,
9936,Winter,OCSD,02/08/2016,11:22,2022,1,39.0,65.5,0.74,14.14,4.049,33.512,25.009,8.03,6.34,8.35,75.88,82.45,0.772,0.84,0.1142,0.58,0.0361,2.91,0.2838,0.80,0.0221,,,2445.8,2.7,0.1,0.00,0.000,,,,,,,,,,,
9937,Winter,OCSD,02/08/2016,11:22,2022,1,40.0,66.8,0.81,14.14,4.049,33.512,25.009,8.03,6.31,8.35,75.50,82.42,0.773,0.83,0.1136,0.58,0.0360,2.88,0.2807,0.77,0.0212,,,2446.0,2.3,0.1,0.00,0.001,,,,,,,,,,,
9938,Winter,OCSD,02/08/2016,11:22,2022,1,41.0,68.1,0.76,14.14,4.048,33.511,25.010,8.03,6.29,8.35,75.35,82.32,0.778,0.83,0.1135,0.57,0.0359,2.94,0.2844,0.79,0.0220,,,2447.1,2.0,0.1,0.02,0.004,,,,,,,,,,,
9939,Winter,OCSD,02/08/2016,11:22,2022,1,42.0,69.5,0.67,14.12,4.047,33.512,25.014,8.03,6.31,8.35,75.45,82.23,0.783,0.81,0.1114,0.57,0.0357,2.99,0.2891,0.81,0.0220,,,2448.5,1.7,0.1,0.00,0.001,,,,,,,,,,,
9940,Winter,OCSD,02/08/2016,11:22,2022,1,43.0,71.0,0.70,14.12,4.046,33.512,25.015,8.02,6.30,8.35,75.40,82.11,0.789,0.80,0.1112,0.55,0.0350,2.96,0.2861,0.85,0.0227,,,2448.3,1.5,0.1,0.00,-0.002,,,,,,,,,,,
9941,Winter,OCSD,02/08/2016,11:22,2022,1,44.0,72.3,0.79,14.12,4.047,33.512,25.013,8.02,6.26,8.35,74.88,81.91,0.798,0.79,0.1103,0.56,0.0356,2.94,0.2842,0.86,0.0222,,,2449.3,1.3,0.1,0.00,0.001,,,,,,,,,,,
9942,Winter,OCSD,02/08/2016,11:22,2022,1,45.0,73.6,0.77,14.12,4.047,33.512,25.014,8.02,6.24,8.35,74.65,81.69,0.809,0.78,0.1093,0.55,0.0347,2.96,0.2863,0.86,0.0231,,,2449.3,1.1,0.0,0.03,0.006,,,,,,,,,,,
9943,Winter,OCSD,02/08/2016,11:22,2022,1,46.0,75.6,0.27,14.09,4.044,33.512,25.020,8.02,6.28,8.36,75.12,81.54,0.816,0.79,0.1104,0.53,0.0342,2.95,0.2852,0.89,0.0224,,,2449.1,0.9,0.0,,,,,,,,,,,,,
9944,Winter,OCSD,02/08/2016,11:14,2023,1,1.0,17.7,0.65,15.42,4.172,33.545,24.762,8.14,7.70,8.13,94.59,79.57,0.915,0.95,0.1213,0.58,0.0360,2.20,0.2501,0.40,0.0177,,,2428.8,1507.1,62.1,0.36,0.077,,,,,,,,,,,
9945,Winter,OCSD,02/08/2016,11:14,2023,1,2.0,19.2,0.74,15.06,4.138,33.549,24.839,8.13,7.73,8.19,94.34,79.84,0.900,1.18,0.1393,0.62,0.0370,2.24,0.2509,0.40,0.0183,,,2427.0,1477.4,60.9,0.03,0.004,,,,,,,,,,,
9946,Winter,OCSD,02/08/2016,11:14,2023,1,3.0,20.5,0.76,15.03,4.135,33.545,24.843,8.13,7.70,8.20,93.83,79.96,0.894,1.44,0.1588,0.76,0.0435,2.28,0.2549,0.41,0.0175,,,2430.1,1159.3,47.7,0.05,0.011,,,,,,,,,,,
9947,Winter,OCSD,02/08/2016,11:14,2023,1,4.0,21.8,0.79,14.98,4.130,33.545,24.854,8.13,7.72,8.20,93.98,80.39,0.873,1.72,0.1821,0.93,0.0509,2.26,0.2518,0.45,0.0186,,,2430.2,938.3,38.6,0.01,0.003,,,,,,,,,,,
9948,Winter,OCSD,02/08/2016,11:14,2023,1,5.0,23.1,0.74,14.97,4.129,33.544,24.857,8.13,7.72,8.21,94.04,80.85,0.850,2.01,0.2036,1.04,0.0543,2.24,0.2506,0.50,0.0190,,,2427.7,718.2,29.6,0.02,0.002,,,,,,,,,,,
9949,Winter,OCSD,02/08/2016,11:14,2023,1,6.0,24.5,0.74,14.95,4.127,33.543,24.859,8.13,7.72,8.21,93.95,81.04,0.841,2.31,0.2275,1.22,0.0615,2.26,0.2536,0.52,0.0195,,,2430.0,603.5,24.8,0.00,0.001,,,,,,,,,,,
9950,Winter,OCSD,02/08/2016,11:14,2023,1,7.0,25.9,0.70,14.95,4.127,33.543,24.860,8.13,7.68,8.21,93.43,81.23,0.832,2.55,0.2452,1.44,0.0710,2.23,0.2496,0.50,0.0188,,,2426.8,479.2,19.7,0.02,0.005,,,,,,,,,,,
9951,Winter,OCSD,02/08/2016,11:14,2023,1,8.0,27.2,0.83,14.93,4.125,33.543,24.865,8.13,7.62,8.21,92.70,81.29,0.828,2.68,0.2548,1.61,0.0780,2.25,0.2519,0.48,0.0188,,,2427.3,389.9,16.1,0.04,0.007,,,,,,,,,,,
9952,Winter,OCSD,02/08/2016,11:14,2023,1,9.0,28.7,0.61,14.89,4.121,33.541,24.872,8.13,7.55,8.22,91.80,81.39,0.824,2.73,0.2594,1.71,0.0815,2.24,0.2510,0.47,0.0186,,,2428.9,331.5,13.6,0.04,0.007,,,,,,,,,,,
9953,Winter,OCSD,02/08/2016,11:14,2023,1,10.0,30.1,0.89,14.85,4.118,33.540,24.879,8.12,7.53,8.23,91.42,81.70,0.809,2.75,0.2581,1.78,0.0839,2.32,0.2553,0.49,0.0186,,,2427.6,260.5,10.7,0.02,0.004,,,,,,,,,,,
9954,Winter,OCSD,02/08/2016,11:14,2023,1,11.0,31.4,0.74,14.83,4.116,33.540,24.883,8.12,7.50,8.23,91.06,81.84,0.802,2.88,0.2700,1.86,0.0875,2.35,0.2566,0.49,0.0190,,,2432.2,225.6,9.3,0.02,0.004,,,,,,,,,,,
9955,Winter,OCSD,02/08/2016,11:14,2023,1,12.0,32.6,0.91,14.81,4.114,33.540,24.887,8.12,7.47,8.23,90.70,81.97,0.795,2.98,0.2779,1.95,0.0916,2.38,0.2577,0.48,0.0181,,,2431.2,191.7,7.9,0.03,0.006,,,,,,,,,,,
9956,Winter,OCSD,02/08/2016,11:14,2023,1,13.0,33.8,0.76,14.78,4.111,33.539,24.893,8.11,7.43,8.24,90.13,81.86,0.801,2.99,0.2795,1.95,0.0911,2.43,0.2608,0.50,0.0196,,,2431.5,159.4,6.6,0.03,0.006,,,,,,,,,,,
9957,Winter,OCSD,02/08/2016,11:14,2023,1,14.0,35.2,0.77,14.75,4.108,33.537,24.899,8.11,7.41,8.24,89.83,81.84,0.802,2.94,0.2734,1.93,0.0904,2.46,0.2612,0.48,0.0185,,,2432.1,135.5,5.6,0.03,0.007,,,,,,,,,,,
9958,Winter,OCSD,02/08/2016,11:14,2023,1,15.0,36.4,0.88,14.72,4.105,33.537,24.906,8.11,7.39,8.25,89.56,81.85,0.801,2.96,0.2765,1.90,0.0886,2.49,0.2639,0.49,0.0187,,,2432.5,112.5,4.6,0.04,0.005,,,,,,,,,,,
9959,Winter,OCSD,02/08/2016,11:14,2023,1,16.0,37.6,0.76,14.68,4.102,33.535,24.911,8.10,7.32,8.25,88.63,81.82,0.802,2.97,0.2756,1.90,0.0888,2.51,0.2641,0.51,0.0192,,,2434.1,92.9,3.8,0.01,0.004,,,,,,,,,,,
9960,Winter,OCSD,02/08/2016,11:14,2023,1,17.0,38.9,0.76,14.67,4.100,33.535,24.915,8.10,7.26,8.26,87.90,81.72,0.807,2.97,0.2781,1.95,0.0915,2.57,0.2680,0.53,0.0188,,,2432.5,78.1,3.2,0.04,0.007,,,,,,,,,,,
9961,Winter,OCSD,02/08/2016,11:14,2023,1,18.0,40.2,0.80,14.63,4.096,33.533,24.922,8.10,7.22,8.26,87.26,81.66,0.811,2.90,0.2706,1.95,0.0913,2.59,0.2674,0.57,0.0203,,,2435.2,64.6,2.7,0.04,0.007,,,,,,,,,,,
9962,Winter,OCSD,02/08/2016,11:14,2023,1,19.0,41.6,0.72,14.59,4.092,33.531,24.929,8.09,7.12,8.27,86.01,81.64,0.811,2.80,0.2646,1.94,0.0904,2.64,0.2714,0.56,0.0192,,,2435.6,52.4,2.2,0.03,0.005,,,,,,,,,,,
9963,Winter,OCSD,02/08/2016,11:14,2023,1,20.0,42.9,0.74,14.56,4.089,33.530,24.934,8.09,7.02,8.28,84.77,81.58,0.814,2.63,0.2517,1.93,0.0904,2.66,0.2707,0.59,0.0196,,,2431.3,43.6,1.8,0.06,0.011,,,,,,,,,,,
9964,Winter,OCSD,02/08/2016,11:14,2023,1,21.0,44.3,0.79,14.50,4.083,33.527,24.945,8.08,6.97,8.29,84.03,81.55,0.816,2.43,0.2354,1.89,0.0892,2.73,0.2756,0.65,0.0207,,,2435.8,36.3,1.5,0.04,0.006,,,,,,,,,,,
9965,Winter,OCSD,02/08/2016,11:14,2023,1,22.0,45.5,0.87,14.46,4.080,33.526,24.951,8.08,6.89,8.29,83.02,81.53,0.817,2.27,0.2228,1.79,0.0849,2.74,0.2751,0.67,0.0208,,,2433.8,30.5,1.3,0.02,0.004,,,,,,,,,,,
9966,Winter,OCSD,02/08/2016,11:14,2023,1,23.0,46.7,0.78,14.44,4.078,33.524,24.955,8.07,6.78,8.30,81.66,81.59,0.814,2.14,0.2145,1.66,0.0788,2.75,0.2762,0.67,0.0207,,,2434.3,25.7,1.1,0.05,0.008,,,,,,,,,,,
9967,Winter,OCSD,02/08/2016,11:14,2023,1,24.0,48.0,0.79,14.39,4.073,33.522,24.963,8.07,6.62,8.30,79.73,81.68,0.810,1.91,0.1954,1.55,0.0749,2.75,0.2744,0.67,0.0205,,,2436.8,22.0,0.9,0.05,0.009,,,,,,,,,,,
9968,Winter,OCSD,02/08/2016,11:14,2023,1,25.0,49.2,0.92,14.34,4.068,33.520,24.972,8.06,6.49,8.31,78.03,81.81,0.803,1.66,0.1780,1.42,0.0699,2.81,0.2786,0.68,0.0211,,,2435.3,18.6,0.8,0.06,0.011,,,,,,,,,,,
9969,Winter,OCSD,02/08/2016,11:14,2023,1,26.0,50.4,0.77,14.28,4.062,33.517,24.983,8.06,6.44,8.32,77.32,81.83,0.802,1.39,0.1544,1.25,0.0633,2.85,0.2814,0.67,0.0203,,,2437.1,15.5,0.6,0.07,0.013,,,,,,,,,,,
9970,Winter,OCSD,02/08/2016,11:14,2023,1,27.0,51.7,0.76,14.21,4.055,33.515,24.996,8.05,6.44,8.33,77.15,82.00,0.794,1.26,0.1451,1.03,0.0538,2.84,0.2804,0.69,0.0209,,,2437.1,13.2,0.5,0.00,0.001,,,,,,,,,,,
9971,Winter,OCSD,02/08/2016,11:14,2023,1,28.0,53.0,0.76,14.21,4.055,33.515,24.997,8.04,6.40,8.34,76.74,82.10,0.789,1.20,0.1416,0.90,0.0481,2.85,0.2803,0.70,0.0209,,,2436.5,11.2,0.5,0.01,0.002,,,,,,,,,,,
9972,Winter,OCSD,02/08/2016,11:14,2023,1,29.0,54.3,0.80,14.20,4.054,33.514,24.999,8.04,6.34,8.34,76.00,82.23,0.782,1.12,0.1362,0.87,0.0483,2.88,0.2830,0.71,0.0210,,,2439.9,9.7,0.4,0.04,0.006,,,,,,,,,,,
